code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,rev_94,rev_95,rev_96,rev_97,rev_98,rev_99,rev_100,rev_101,rev_102,rev_103,rev_104,doc_link,source_link
friction-y,repo,README.md,-,-,-,-,-,-,-,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/de589b33da13667d1aa13f9571b8c4492b50b5d9/src/parallax.js#L170
frictionX,repo,README.md,-,-,-,-,-,-,-,15,15,15,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/src/parallax.js#L145
frictionY,repo,README.md,-,-,-,-,-,-,-,15,15,15,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/src/parallax.js#L146
function,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34,49,49,49,49,49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/de589b33da13667d1aa13f9571b8c4492b50b5d9/yarn.lock#L293
function(),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/de589b33da13667d1aa13f9571b8c4492b50b5d9/examples/pages/destroy.html#L39
getElementById('scene'),repo,README.md,-,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/examples/pages/simple.html#L35
hoverOnly,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/src/parallax.js#L133
iOS,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/7462fb7e1c57ce25d12cff7bed6fcec07d78aa44/examples/scripts/zepto.js#L5
inputElement,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/src/parallax.js#L132
integer,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/7462fb7e1c57ce25d12cff7bed6fcec07d78aa44/examples/scripts/jquery.js#L2723
"invert(x, y)",repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/src/parallax.js#L391
invert-x,repo,README.md,-,-,-,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/de589b33da13667d1aa13f9571b8c4492b50b5d9/src/parallax.js#L163
invert-y,repo,README.md,-,-,-,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/de589b33da13667d1aa13f9571b8c4492b50b5d9/src/parallax.js#L164
invertX,repo,README.md,-,15,15,15,15,15,15,15,15,15,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/src/parallax.js#L139
invertY,repo,README.md,-,15,15,15,15,15,15,15,15,15,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/src/parallax.js#L140
jQuery,repo,README.md,-,823,823,823,823,825,825,825,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,827,827,827,827,827,827,827,827,827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/7462fb7e1c57ce25d12cff7bed6fcec07d78aa44/source/jquery.parallax.js#L2
layer,repo,README.md,-,10,10,10,10,11,16,16,16,16,47,47,47,47,47,47,47,47,47,47,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,57,57,57,71,71,71,71,71,77,77,77,77,77,77,77,77,77,77,83,83,99,99,99,99,99,99,99,99,99,50,50,56,56,56,56,57,57,57,57,57,57,57,57,57,63,63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/c11dfb00e5ff34c2b8b64c8cf9b3801adcc6ebd3/src/parallax.js#L158
"limit(x, y)",repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/src/parallax.js#L406
limit-x,repo,README.md,-,-,-,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/de589b33da13667d1aa13f9571b8c4492b50b5d9/src/parallax.js#L165
limit-y,repo,README.md,-,-,-,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/de589b33da13667d1aa13f9571b8c4492b50b5d9/src/parallax.js#L166
limitX,repo,README.md,-,21,21,21,21,21,21,21,21,21,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/src/parallax.js#L141
limitY,repo,README.md,-,21,21,21,21,21,21,21,21,21,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/src/parallax.js#L142
null,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,26,26,23,23,23,23,23,23,24,24,24,25,27,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/de589b33da13667d1aa13f9571b8c4492b50b5d9/src/parallax.js#L14
number,repo,README.md,-,-,-,19,19,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,33,33,33,33,33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/de589b33da13667d1aa13f9571b8c4492b50b5d9/yarn.lock#L1615
onReady,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/src/parallax.js#L151
"origin(x, y)",repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/src/parallax.js#L411
origin-x,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/de589b33da13667d1aa13f9571b8c4492b50b5d9/src/parallax.js#L171
origin-y,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/de589b33da13667d1aa13f9571b8c4492b50b5d9/src/parallax.js#L172
originX,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/src/parallax.js#L147
originY,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/src/parallax.js#L148
parallax.js,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,20,15,15,15,15,13,13,13,13,13,13,13,13,13,13,13,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/package.json#L6
parallax.min.js,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/gulpfile.js#L65
pointerEvents,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,24,24,24,24,24,24,24,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/src/parallax.js#L149
precision,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,24,24,24,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/de589b33da13667d1aa13f9571b8c4492b50b5d9/src/parallax.js#L150
querySelectorAll,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/src/parallax.js#L286
relativeInput,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/src/parallax.js#L130
rotationRate,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,6,6,6,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/de589b33da13667d1aa13f9571b8c4492b50b5d9/src/parallax.js#L529
"scalar(x, y)",repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/src/parallax.js#L401
scalar-x,repo,README.md,-,-,-,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/de589b33da13667d1aa13f9571b8c4492b50b5d9/src/parallax.js#L167
scalar-y,repo,README.md,-,-,-,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/de589b33da13667d1aa13f9571b8c4492b50b5d9/src/parallax.js#L168
scalarX,repo,README.md,-,18,18,18,18,18,18,18,18,18,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/src/parallax.js#L143
