code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,rev_94,rev_95,rev_96,rev_97,rev_98,rev_99,rev_100,rev_101,rev_102,rev_103,rev_104,rev_105,rev_106,rev_107,rev_108,rev_109,rev_110,rev_111,rev_112,rev_113,rev_114,rev_115,rev_116,rev_117,doc_link,source_link
ResNet34,repo,README.md,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,https://github.com/rasbt/deeplearning-models/blob/820dbe0bd8e4a2761756ce555de97c007b74cce5/README.md,https://github.com/rasbt/deeplearning-models/blob/dd1540fb58e9869f117b16d69fa22a5db8a35a31/pytorch_ipynb/ordinal/ordinal-cnn-niu-afadlite.ipynb#L53
SVHN,repo,README.md,-,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/rasbt/deeplearning-models/blob/820dbe0bd8e4a2761756ce555de97c007b74cce5/README.md,https://github.com/rasbt/deeplearning-models/blob/73f994c31528b81ea24210e1c5b90a1f273b2f13/pytorch_ipynb/mechanics/custom-data-loader-svhn.ipynb#L39
TFRecords,repo,README.md,-,-,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,https://github.com/rasbt/deeplearning-models/blob/820dbe0bd8e4a2761756ce555de97c007b74cce5/README.md,https://github.com/rasbt/deeplearning-models/blob/73f994c31528b81ea24210e1c5b90a1f273b2f13/tensorflow1_ipynb/mechanics/tfrecords.ipynb#L40
TensorBoard,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/rasbt/deeplearning-models/blob/820dbe0bd8e4a2761756ce555de97c007b74cce5/README.md,https://github.com/rasbt/deeplearning-models/blob/73f994c31528b81ea24210e1c5b90a1f273b2f13/pytorch_ipynb/lightning/lightning-mlp.ipynb#L438
TensorFlow,repo,README.md,-,-,46,46,46,46,46,128,128,128,128,128,128,128,128,129,129,129,129,130,131,131,132,132,133,134,134,134,135,137,137,138,140,140,140,140,144,146,148,149,149,150,151,151,153,154,154,157,159,160,161,161,161,164,164,165,166,167,168,168,166,166,167,167,168,168,168,168,168,169,169,172,173,173,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,175,175,175,175,175,175,172,172,172,172,172,https://github.com/rasbt/deeplearning-models/blob/820dbe0bd8e4a2761756ce555de97c007b74cce5/README.md,https://github.com/rasbt/deeplearning-models/blob/73f994c31528b81ea24210e1c5b90a1f273b2f13/tensorflow1_ipynb/mlp/mlp-lowlevel.ipynb#L7
TorchMetrics,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/rasbt/deeplearning-models/blob/820dbe0bd8e4a2761756ce555de97c007b74cce5/README.md,https://github.com/rasbt/deeplearning-models/blob/73f994c31528b81ea24210e1c5b90a1f273b2f13/pytorch_ipynb/related-libraries/torchmetrics-update-forward.ipynb#L8
VGG,repo,README.md,-,-,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,9,9,9,9,9,9,9,9,9,9,9,9,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,https://github.com/rasbt/deeplearning-models/blob/820dbe0bd8e4a2761756ce555de97c007b74cce5/README.md,https://github.com/rasbt/deeplearning-models/blob/73f994c31528b81ea24210e1c5b90a1f273b2f13/tensorflow1_ipynb/cnn/cnn-vgg16.ipynb#L46
VGG16,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25,25,25,25,25,25,25,25,25,25,25,25,37,37,43,43,43,43,43,43,43,43,43,43,43,43,43,43,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,48,48,48,50,50,50,50,50,50,50,50,50,50,50,50,50,50,https://github.com/rasbt/deeplearning-models/blob/820dbe0bd8e4a2761756ce555de97c007b74cce5/README.md,https://github.com/rasbt/deeplearning-models/blob/73f994c31528b81ea24210e1c5b90a1f273b2f13/tensorflow1_ipynb/cnn/cnn-vgg16.ipynb#L39
content_cvpr_2016,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,13,13,13,https://github.com/rasbt/deeplearning-models/blob/820dbe0bd8e4a2761756ce555de97c007b74cce5/README.md,https://github.com/rasbt/deeplearning-models/blob/73f994c31528b81ea24210e1c5b90a1f273b2f13/pytorch_ipynb/ordinal/niu2016_cement.ipynb#L18
cvae_no,repo,README.md,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/rasbt/deeplearning-models/blob/820dbe0bd8e4a2761756ce555de97c007b74cce5/README.md,https://github.com/rasbt/deeplearning-models/blob/73f994c31528b81ea24210e1c5b90a1f273b2f13/pytorch_ipynb/autoencoder/ae-cvae.ipynb#L57
light_cement,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,8,8,https://github.com/rasbt/deeplearning-models/blob/820dbe0bd8e4a2761756ce555de97c007b74cce5/README.md,https://github.com/rasbt/deeplearning-models/blob/73f994c31528b81ea24210e1c5b90a1f273b2f13/pytorch-lightning_ipynb/ordinal/niu2016-light_cement.ipynb#L67
lightning_ipynb,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,4,4,4,4,4,4,4,4,4,https://github.com/rasbt/deeplearning-models/blob/820dbe0bd8e4a2761756ce555de97c007b74cce5/README.md,https://github.com/rasbt/deeplearning-models/blob/73f994c31528b81ea24210e1c5b90a1f273b2f13/pytorch_ipynb/related-libraries/torchmetrics-update-forward.ipynb#L40
pl_cross,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,11,11,https://github.com/rasbt/deeplearning-models/blob/820dbe0bd8e4a2761756ce555de97c007b74cce5/README.md,https://github.com/rasbt/deeplearning-models/blob/73f994c31528b81ea24210e1c5b90a1f273b2f13/pytorch-lightning_ipynb/kfold/kfold-light-cnn-mnist.ipynb#L56
plot_decision_regions,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/rasbt/deeplearning-models/blob/820dbe0bd8e4a2761756ce555de97c007b74cce5/README.md,https://github.com/rasbt/deeplearning-models/blob/73f994c31528b81ea24210e1c5b90a1f273b2f13/pytorch_ipynb/basic-ml/softmax-regression-mlxtend-1.ipynb#L46
pytorch_ipynb,repo,README.md,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,7,7,7,7,7,7,7,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,14,14,14,16,16,16,16,16,16,18,20,22,22,23,24,27,27,27,30,30,30,64,64,64,64,64,60,60,60,60,60,60,https://github.com/rasbt/deeplearning-models/blob/820dbe0bd8e4a2761756ce555de97c007b74cce5/README.md,https://github.com/rasbt/deeplearning-models/blob/73f994c31528b81ea24210e1c5b90a1f273b2f13/pytorch-lightning_ipynb/mlp/mlp-dropout.ipynb#L1711
rnn_bi_multilayer_lstm_own_csv_amazon,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/rasbt/deeplearning-models/blob/820dbe0bd8e4a2761756ce555de97c007b74cce5/README.md,https://github.com/rasbt/deeplearning-models/blob/db60c46e4ac072886962f9d12027bb3b82e56916/pytorch_ipynb/rnn/rnn_bi_multilayer_lstm_own_csv_amazon-polarity.ipynb#L1216
rnn_bi_multilayer_lstm_own_csv_yelp,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/rasbt/deeplearning-models/blob/820dbe0bd8e4a2761756ce555de97c007b74cce5/README.md,https://github.com/rasbt/deeplearning-models/blob/db60c46e4ac072886962f9d12027bb3b82e56916/pytorch_ipynb/rnn/rnn_bi_multilayer_lstm_own_csv_yelp-polarity.ipynb#L1420
rnn_gru_packed_imdb,repo,README.md,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/rasbt/deeplearning-models/blob/820dbe0bd8e4a2761756ce555de97c007b74cce5/README.md,https://github.com/rasbt/deeplearning-models/blob/73f994c31528b81ea24210e1c5b90a1f273b2f13/pytorch_ipynb/rnn/rnn_gru_packed_imdb.ipynb#L653
rnn_lstm_bi_imdb,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/rasbt/deeplearning-models/blob/820dbe0bd8e4a2761756ce555de97c007b74cce5/README.md,https://github.com/rasbt/deeplearning-models/blob/73f994c31528b81ea24210e1c5b90a1f273b2f13/pytorch_ipynb/rnn/rnn_lstm_bi_imdb.ipynb#L644
rnn_lstm_packed_imdb,repo,README.md,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/rasbt/deeplearning-models/blob/820dbe0bd8e4a2761756ce555de97c007b74cce5/README.md,https://github.com/rasbt/deeplearning-models/blob/73f994c31528b81ea24210e1c5b90a1f273b2f13/pytorch_ipynb/rnn/rnn_lstm_packed_own_csv_imdb.ipynb#L909
rnn_simple_imdb,repo,README.md,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/rasbt/deeplearning-models/blob/820dbe0bd8e4a2761756ce555de97c007b74cce5/README.md,https://github.com/rasbt/deeplearning-models/blob/73f994c31528b81ea24210e1c5b90a1f273b2f13/pytorch_ipynb/rnn/rnn_simple_packed_imdb.ipynb#L31
tensorflow_ipynb,repo,README.md,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/rasbt/deeplearning-models/blob/820dbe0bd8e4a2761756ce555de97c007b74cce5/README.md,https://github.com/rasbt/deeplearning-models/blob/b31e0c3bc31b7fa6eb9e4ad4ce9bbb0fc9a21402/.gitignore#L34
