code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,doc_link,source_link
addFiles,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,6,6,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/nodejs-container-image-builder/blob/70f6e3bbe7d701fee69215e8553d87bbb622295a/README.md,https://github.com/google/nodejs-container-image-builder/blob/bafaf93e172cdd41e3e84d7bbbb134053c2a8cfc/test/test.ts#L109
addLayer,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/nodejs-container-image-builder/blob/70f6e3bbe7d701fee69215e8553d87bbb622295a/README.md,https://github.com/google/nodejs-container-image-builder/blob/bafaf93e172cdd41e3e84d7bbbb134053c2a8cfc/src/index.ts#L106
auth,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47,47,49,49,49,54,54,54,54,54,https://github.com/google/nodejs-container-image-builder/blob/70f6e3bbe7d701fee69215e8553d87bbb622295a/README.md,https://github.com/google/nodejs-container-image-builder/blob/bafaf93e172cdd41e3e84d7bbbb134053c2a8cfc/test/test.ts#L129
baseImage,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/nodejs-container-image-builder/blob/70f6e3bbe7d701fee69215e8553d87bbb622295a/README.md,https://github.com/google/nodejs-container-image-builder/blob/bafaf93e172cdd41e3e84d7bbbb134053c2a8cfc/example/multiple-gcr.js#L22
console.log(result),repo,README.md,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,https://github.com/google/nodejs-container-image-builder/blob/70f6e3bbe7d701fee69215e8553d87bbb622295a/README.md,https://github.com/google/nodejs-container-image-builder/blob/bafaf93e172cdd41e3e84d7bbbb134053c2a8cfc/test/walker.ts#L55
contentLength,repo,README.md,-,-,-,-,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,https://github.com/google/nodejs-container-image-builder/blob/70f6e3bbe7d701fee69215e8553d87bbb622295a/README.md,https://github.com/google/nodejs-container-image-builder/blob/bafaf93e172cdd41e3e84d7bbbb134053c2a8cfc/src/registry.ts#L230
copyRemoteLayers,repo,README.md,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/nodejs-container-image-builder/blob/70f6e3bbe7d701fee69215e8553d87bbb622295a/README.md,https://github.com/google/nodejs-container-image-builder/blob/bafaf93e172cdd41e3e84d7bbbb134053c2a8cfc/src/index.ts#L314
credentials:creds1,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/nodejs-container-image-builder/blob/70f6e3bbe7d701fee69215e8553d87bbb622295a/README.md,https://github.com/google/nodejs-container-image-builder/blob/bafaf93e172cdd41e3e84d7bbbb134053c2a8cfc/example/multiple-gcr.js#L22
credentials:creds2,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/nodejs-container-image-builder/blob/70f6e3bbe7d701fee69215e8553d87bbb622295a/README.md,https://github.com/google/nodejs-container-image-builder/blob/bafaf93e172cdd41e3e84d7bbbb134053c2a8cfc/example/multiple-gcr.js#L29
diff_ids,repo,README.md,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/nodejs-container-image-builder/blob/70f6e3bbe7d701fee69215e8553d87bbb622295a/README.md,https://github.com/google/nodejs-container-image-builder/blob/bafaf93e172cdd41e3e84d7bbbb134053c2a8cfc/src/registry.ts#L483
gcr.io,repo,README.md,-,-,-,-,-,-,-,13,13,13,13,13,13,15,15,15,15,15,15,16,16,16,16,20,20,20,20,20,20,20,20,20,20,18,24,24,24,24,26,26,26,26,26,26,26,https://github.com/google/nodejs-container-image-builder/blob/70f6e3bbe7d701fee69215e8553d87bbb622295a/README.md,https://github.com/google/nodejs-container-image-builder/blob/bafaf93e172cdd41e3e84d7bbbb134053c2a8cfc/test/test.ts#L93
ignoreExists,repo,README.md,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/nodejs-container-image-builder/blob/70f6e3bbe7d701fee69215e8553d87bbb622295a/README.md,https://github.com/google/nodejs-container-image-builder/blob/bafaf93e172cdd41e3e84d7bbbb134053c2a8cfc/test/test.ts#L115
image.getImageData(),repo,README.md,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/nodejs-container-image-builder/blob/70f6e3bbe7d701fee69215e8553d87bbb622295a/README.md,https://github.com/google/nodejs-container-image-builder/blob/bafaf93e172cdd41e3e84d7bbbb134053c2a8cfc/test/test.ts#L29
image.save(),repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/nodejs-container-image-builder/blob/70f6e3bbe7d701fee69215e8553d87bbb622295a/README.md,https://github.com/google/nodejs-container-image-builder/blob/bafaf93e172cdd41e3e84d7bbbb134053c2a8cfc/example/multiple-gcr.js#L33
imageSpecifier,repo,README.md,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/nodejs-container-image-builder/blob/70f6e3bbe7d701fee69215e8553d87bbb622295a/README.md,https://github.com/google/nodejs-container-image-builder/blob/bafaf93e172cdd41e3e84d7bbbb134053c2a8cfc/src/index.ts#L68
keyFilename,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,4,4,4,4,4,4,4,4,https://github.com/google/nodejs-container-image-builder/blob/70f6e3bbe7d701fee69215e8553d87bbb622295a/README.md,https://github.com/google/nodejs-container-image-builder/blob/bafaf93e172cdd41e3e84d7bbbb134053c2a8cfc/src/auth/gcr.ts#L23
latest,repo,README.md,-,-,-,-,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,13,13,14,14,14,14,14,https://github.com/google/nodejs-container-image-builder/blob/70f6e3bbe7d701fee69215e8553d87bbb622295a/README.md,https://github.com/google/nodejs-container-image-builder/blob/bafaf93e172cdd41e3e84d7bbbb134053c2a8cfc/test/util/local-registry.ts#L22
linkPath,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/nodejs-container-image-builder/blob/70f6e3bbe7d701fee69215e8553d87bbb622295a/README.md,https://github.com/google/nodejs-container-image-builder/blob/bafaf93e172cdd41e3e84d7bbbb134053c2a8cfc/test/packer-custom-file.ts#L104
localDirectory,repo,README.md,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/nodejs-container-image-builder/blob/70f6e3bbe7d701fee69215e8553d87bbb622295a/README.md,https://github.com/google/nodejs-container-image-builder/blob/bafaf93e172cdd41e3e84d7bbbb134053c2a8cfc/src/index.ts#L141
manifest(tag: string),repo,README.md,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/nodejs-container-image-builder/blob/70f6e3bbe7d701fee69215e8553d87bbb622295a/README.md,https://github.com/google/nodejs-container-image-builder/blob/bafaf93e172cdd41e3e84d7bbbb134053c2a8cfc/src/registry.ts#L70
"manifestUpload(tag: string|false, manifest: Buffer|{})",repo,README.md,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/nodejs-container-image-builder/blob/70f6e3bbe7d701fee69215e8553d87bbb622295a/README.md,https://github.com/google/nodejs-container-image-builder/blob/bafaf93e172cdd41e3e84d7bbbb134053c2a8cfc/src/registry.ts#L103
