code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,rev_94,rev_95,rev_96,rev_97,rev_98,rev_99,rev_100,rev_101,rev_102,rev_103,rev_104,rev_105,rev_106,rev_107,rev_108,rev_109,rev_110,rev_111,rev_112,rev_113,rev_114,rev_115,rev_116,rev_117,rev_118,rev_119,rev_120,rev_121,rev_122,rev_123,rev_124,rev_125,rev_126,rev_127,rev_128,rev_129,doc_link,source_link
JaCoCo,repo,README.md,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/gwtmockito/blob/b6fd772a0298749bc5b23d38ad714dc83983fde3/README.md,https://github.com/google/gwtmockito/blob/a6ea4b597dbaf16f78575f114c21667dc09753d0/gwtmockito/src/main/java/com/google/gwtmockito/GwtMockitoTestRunner.java#L267
LabelBase,repo,README.md,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/google/gwtmockito/blob/b6fd772a0298749bc5b23d38ad714dc83983fde3/README.md,https://github.com/google/gwtmockito/blob/3b88efb6c33904e9bba15847817398fb78c0056e/gwtmockito/src/main/java/com/google/gwtmockito/GwtMockitoTestRunner.java#L43
MyTest,repo,README.md,.,.,.,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/gwtmockito/blob/b6fd772a0298749bc5b23d38ad714dc83983fde3/README.md,https://github.com/google/gwtmockito/blob/a6ea4b597dbaf16f78575f114c21667dc09753d0/gwtmockito/src/test/java/com/google/gwtmockito/GwtMockitoSuiteTest.java#L30
MyUiBinder,repo,README.md,.,.,.,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/gwtmockito/blob/b6fd772a0298749bc5b23d38ad714dc83983fde3/README.md,https://github.com/google/gwtmockito/blob/a6ea4b597dbaf16f78575f114c21667dc09753d0/gwtmockito/src/test/java/com/google/gwtmockito/GwtMockitoTest.java#L769
MyWidget,repo,README.md,.,.,.,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,https://github.com/google/gwtmockito/blob/b6fd772a0298749bc5b23d38ad714dc83983fde3/README.md,https://github.com/google/gwtmockito/blob/a6ea4b597dbaf16f78575f114c21667dc09753d0/gwtmockito/src/test/java/com/google/gwtmockito/rpc/GwtMockitoRpcWithoutGwtMockTest.java#L45
MyWidget(),repo,README.md,.,.,.,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,https://github.com/google/gwtmockito/blob/b6fd772a0298749bc5b23d38ad714dc83983fde3/README.md,https://github.com/google/gwtmockito/blob/a6ea4b597dbaf16f78575f114c21667dc09753d0/gwtmockito/src/test/java/com/google/gwtmockito/rpc/GwtMockitoRpcWithoutGwtMockTest.java#L49
MyWidgetTest,repo,README.md,.,.,.,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/gwtmockito/blob/b6fd772a0298749bc5b23d38ad714dc83983fde3/README.md,https://github.com/google/gwtmockito/blob/a6ea4b597dbaf16f78575f114c21667dc09753d0/gwtmockito-sample/src/test/java/sample/MyWidgetTestWithoutRunner.java#L40
PowerMock,repo,README.md,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/gwtmockito/blob/b6fd772a0298749bc5b23d38ad714dc83983fde3/README.md,https://github.com/google/gwtmockito/blob/a6ea4b597dbaf16f78575f114c21667dc09753d0/pom.xml#L90
RETURNS_MOCKS,repo,README.md,.,.,.,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/google/gwtmockito/blob/b6fd772a0298749bc5b23d38ad714dc83983fde3/README.md,https://github.com/google/gwtmockito/blob/ce7323e5aab66f63342ba9065c91713a8bb06d7f/gwtmockito/src/main/java/com/google/gwtmockito/GwtMockitoTestRunner.java#L172
ResourcePrototype,repo,README.md,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,https://github.com/google/gwtmockito/blob/b6fd772a0298749bc5b23d38ad714dc83983fde3/README.md,https://github.com/google/gwtmockito/blob/a6ea4b597dbaf16f78575f114c21667dc09753d0/gwtmockito/src/main/java/com/google/gwtmockito/fakes/FakeClientBundleProvider.java#L22
SafeHtmlTemplates,repo,README.md,.,.,.,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/gwtmockito/blob/b6fd772a0298749bc5b23d38ad714dc83983fde3/README.md,https://github.com/google/gwtmockito/blob/a6ea4b597dbaf16f78575f114c21667dc09753d0/gwtmockito/src/main/java/com/google/gwtmockito/fakes/FakeMessagesProvider.java#L30
String,repo,README.md,.,.,.,34,34,34,34,43,43,43,43,43,43,43,43,43,43,43,43,43,43,51,52,52,60,60,61,65,65,65,65,65,65,65,65,66,70,70,70,70,70,70,70,70,71,71,75,75,75,75,75,75,75,79,85,86,88,88,90,90,94,94,94,94,98,98,98,98,100,103,103,111,102,102,103,105,107,107,107,107,107,127,127,127,127,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,130,130,130,130,130,130,130,130,130,130,130,130,130,130,133,133,133,133,133,133,133,133,133,133,133,133,133,https://github.com/google/gwtmockito/blob/b6fd772a0298749bc5b23d38ad714dc83983fde3/README.md,https://github.com/google/gwtmockito/blob/a6ea4b597dbaf16f78575f114c21667dc09753d0/gwtmockito/src/test/java/com/google/gwtmockito/subpackage/LoadedFromStandardClassLoader.java#L22
TestCase,repo,README.md,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/gwtmockito/blob/b6fd772a0298749bc5b23d38ad714dc83983fde3/README.md,https://github.com/google/gwtmockito/blob/a6ea4b597dbaf16f78575f114c21667dc09753d0/gwtmockito/src/test/java/com/google/gwtmockito/GwtMockitoMemoryLeakTest.java#L12
TextBox,repo,README.md,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/gwtmockito/blob/b6fd772a0298749bc5b23d38ad714dc83983fde3/README.md,https://github.com/google/gwtmockito/blob/a6ea4b597dbaf16f78575f114c21667dc09753d0/gwtmockito/src/test/java/com/google/gwtmockito/GwtMockitoTest.java#L76
URL,repo,README.md,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/gwtmockito/blob/b6fd772a0298749bc5b23d38ad714dc83983fde3/README.md,https://github.com/google/gwtmockito/blob/a6ea4b597dbaf16f78575f114c21667dc09753d0/gwtmockito/src/test/java/com/google/gwtmockito/GwtMockitoTest.java#L38
UiBinder,repo,README.md,.,.,.,17,17,17,17,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,https://github.com/google/gwtmockito/blob/b6fd772a0298749bc5b23d38ad714dc83983fde3/README.md,https://github.com/google/gwtmockito/blob/a6ea4b597dbaf16f78575f114c21667dc09753d0/gwtmockito/src/test/java/com/google/gwtmockito/GwtMockitoTest.java#L55
UiBinders,repo,README.md,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/google/gwtmockito/blob/b6fd772a0298749bc5b23d38ad714dc83983fde3/README.md,https://github.com/google/gwtmockito/blob/d1baa05acbd2e68650dc083e714cf7b1c718bfaf/gwtmockito/src/main/java/com/google/gwtmockito/fakes/FakeProvider.java#L18
ValueListBox,repo,README.md,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/gwtmockito/blob/b6fd772a0298749bc5b23d38ad714dc83983fde3/README.md,https://github.com/google/gwtmockito/blob/a6ea4b597dbaf16f78575f114c21667dc09753d0/gwtmockito/src/test/java/com/google/gwtmockito/GwtMockitoTest.java#L77
artifactId,repo,README.md,.,.,.,-,-,-,-,-,-,-,-,-,-,-,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,52,52,52,52,52,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,56,56,56,56,56,56,56,56,56,56,https://github.com/google/gwtmockito/blob/b6fd772a0298749bc5b23d38ad714dc83983fde3/README.md,https://github.com/google/gwtmockito/blob/a6ea4b597dbaf16f78575f114c21667dc09753d0/pom.xml#L4
createAndBindUi,repo,README.md,.,.,.,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/gwtmockito/blob/b6fd772a0298749bc5b23d38ad714dc83983fde3/README.md,https://github.com/google/gwtmockito/blob/a6ea4b597dbaf16f78575f114c21667dc09753d0/gwtmockito/src/test/java/com/google/gwtmockito/GwtMockitoTest.java#L275
false,repo,README.md,.,.,.,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,https://github.com/google/gwtmockito/blob/b6fd772a0298749bc5b23d38ad714dc83983fde3/README.md,https://github.com/google/gwtmockito/blob/a6ea4b597dbaf16f78575f114c21667dc09753d0/gwtmockito/src/test/java/com/google/gwtmockito/GwtMockitoWidgetBaseClassesTest.java#L105
getFake,repo,README.md,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,12,12,12,12,12,12,12,12,12,12,12,13,17,17,17,17,17,17,17,17,17,24,24,24,24,24,26,26,26,26,26,26,27,27,27,27,27,27,27,27,27,27,27,27,27,28,28,29,29,29,29,29,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,https://github.com/google/gwtmockito/blob/b6fd772a0298749bc5b23d38ad714dc83983fde3/README.md,https://github.com/google/gwtmockito/blob/a6ea4b597dbaf16f78575f114c21667dc09753d0/gwtmockito/src/test/java/com/google/gwtmockito/rpc/GwtMockitoRpcWithoutGwtMockTest.java#L77
getTagName,repo,README.md,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/gwtmockito/blob/b6fd772a0298749bc5b23d38ad714dc83983fde3/README.md,https://github.com/google/gwtmockito/blob/a6ea4b597dbaf16f78575f114c21667dc09753d0/gwtmockito/src/test/java/com/google/gwtmockito/GwtMockitoTest.java#L614
groupId,repo,README.md,.,.,.,-,-,-,-,-,-,-,-,-,-,-,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,48,48,48,48,48,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,52,52,52,52,52,52,52,52,52,52,https://github.com/google/gwtmockito/blob/b6fd772a0298749bc5b23d38ad714dc83983fde3/README.md,https://github.com/google/gwtmockito/blob/a6ea4b597dbaf16f78575f114c21667dc09753d0/pom.xml#L3
hashCode,repo,README.md,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/gwtmockito/blob/b6fd772a0298749bc5b23d38ad714dc83983fde3/README.md,https://github.com/google/gwtmockito/blob/a6ea4b597dbaf16f78575f114c21667dc09753d0/gwtmockito/src/main/java/com/google/gwtmockito/impl/StubGenerator.java#L159
initMocks,repo,README.md,.,.,.,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,https://github.com/google/gwtmockito/blob/b6fd772a0298749bc5b23d38ad714dc83983fde3/README.md,https://github.com/google/gwtmockito/blob/a6ea4b597dbaf16f78575f114c21667dc09753d0/gwtmockito/src/main/java/com/google/gwtmockito/GwtMockitoTestRunner.java#L147
initWidget,repo,README.md,.,.,.,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/gwtmockito/blob/b6fd772a0298749bc5b23d38ad714dc83983fde3/README.md,https://github.com/google/gwtmockito/blob/a6ea4b597dbaf16f78575f114c21667dc09753d0/gwtmockito/src/test/java/com/google/gwtmockito/GwtMockitoTest.java#L285
initWidget(uiBinder.createAndBindUi(this),repo,README.md,.,.,.,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/gwtmockito/blob/b6fd772a0298749bc5b23d38ad714dc83983fde3/README.md,https://github.com/google/gwtmockito/blob/a6ea4b597dbaf16f78575f114c21667dc09753d0/gwtmockito/src/test/java/com/google/gwtmockito/GwtMockitoTest.java#L776
setUp,repo,README.md,.,.,.,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/gwtmockito/blob/b6fd772a0298749bc5b23d38ad714dc83983fde3/README.md,https://github.com/google/gwtmockito/blob/a6ea4b597dbaf16f78575f114c21667dc09753d0/gwtmockito/src/test/java/com/google/gwtmockito/GwtMockitoTest.java#L108
setUp(),repo,README.md,.,.,.,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/gwtmockito/blob/b6fd772a0298749bc5b23d38ad714dc83983fde3/README.md,https://github.com/google/gwtmockito/blob/a6ea4b597dbaf16f78575f114c21667dc09753d0/gwtmockito/src/test/java/com/google/gwtmockito/GwtMockitoTest.java#L107
shouldReturnMocksFromGwtCreate(),repo,README.md,.,.,.,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/gwtmockito/blob/b6fd772a0298749bc5b23d38ad714dc83983fde3/README.md,https://github.com/google/gwtmockito/blob/a6ea4b597dbaf16f78575f114c21667dc09753d0/gwtmockito/src/test/java/com/google/gwtmockito/GwtMockitoTest.java#L112
tearDown,repo,README.md,.,.,.,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/gwtmockito/blob/b6fd772a0298749bc5b23d38ad714dc83983fde3/README.md,https://github.com/google/gwtmockito/blob/a6ea4b597dbaf16f78575f114c21667dc09753d0/gwtmockito/src/main/java/com/google/gwtmockito/GwtMockito.java#L55
