code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,doc_link,source_link
normals,repo,README.md,9,9,9,9,9,11,11,11,11,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,https://github.com/google/vulkan-cpp-library/blob/85b8bdbeabb3f58350a0bbe8720da2a7af2aaf14/README.md,https://github.com/google/vulkan-cpp-library/blob/82314d765013ce96e23186594259eebaf3127072/types/include/type/memory.h#L31
readable_vec3_array,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/vulkan-cpp-library/blob/85b8bdbeabb3f58350a0bbe8720da2a7af2aaf14/README.md,https://github.com/google/vulkan-cpp-library/blob/82314d765013ce96e23186594259eebaf3127072/types/include/type/types.h#L133
spot_cos_cutoff,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,10,10,10,10,10,https://github.com/google/vulkan-cpp-library/blob/85b8bdbeabb3f58350a0bbe8720da2a7af2aaf14/README.md,https://github.com/google/vulkan-cpp-library/blob/82314d765013ce96e23186594259eebaf3127072/sample/teapot/src/teapot.cpp#L213
spot_direction,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,8,8,8,8,https://github.com/google/vulkan-cpp-library/blob/85b8bdbeabb3f58350a0bbe8720da2a7af2aaf14/README.md,https://github.com/google/vulkan-cpp-library/blob/82314d765013ce96e23186594259eebaf3127072/sample/teapot/src/teapot.cpp#L212
spot_exponent,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,8,8,8,8,https://github.com/google/vulkan-cpp-library/blob/85b8bdbeabb3f58350a0bbe8720da2a7af2aaf14/README.md,https://github.com/google/vulkan-cpp-library/blob/82314d765013ce96e23186594259eebaf3127072/sample/teapot/src/teapot.cpp#L217
std140,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,14,14,14,10,9,9,9,9,9,9,https://github.com/google/vulkan-cpp-library/blob/85b8bdbeabb3f58350a0bbe8720da2a7af2aaf14/README.md,https://github.com/google/vulkan-cpp-library/blob/82314d765013ce96e23186594259eebaf3127072/vcc-test/src/integration-test-1.comp#L22
std430,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/vulkan-cpp-library/blob/85b8bdbeabb3f58350a0bbe8720da2a7af2aaf14/README.md,https://github.com/google/vulkan-cpp-library/blob/82314d765013ce96e23186594259eebaf3127072/vcc-test/src/integration-test-1.comp#L26
std::ref,repo,README.md,213,213,214,214,214,278,278,278,278,339,339,339,339,339,339,340,340,340,340,374,375,375,375,375,389,389,389,389,389,389,389,389,393,393,393,393,393,393,390,390,390,390,390,390,390,390,390,390,388,376,376,376,376,377,377,377,377,377,434,434,434,434,434,434,434,434,434,438,438,438,438,437,437,437,444,446,450,505,500,500,498,464,482,471,459,459,462,462,462,451,451,450,450,https://github.com/google/vulkan-cpp-library/blob/85b8bdbeabb3f58350a0bbe8720da2a7af2aaf14/README.md,https://github.com/google/vulkan-cpp-library/blob/82314d765013ce96e23186594259eebaf3127072/vcc/src/window.cpp#L138
std::reference_wrapper,repo,README.md,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,9,9,9,9,9,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,12,12,12,12,12,12,12,11,11,11,11,11,11,11,10,10,10,10,10,10,10,13,13,13,13,13,13,17,32,31,31,31,31,31,31,31,31,31,31,31,https://github.com/google/vulkan-cpp-library/blob/85b8bdbeabb3f58350a0bbe8720da2a7af2aaf14/README.md,https://github.com/google/vulkan-cpp-library/blob/82314d765013ce96e23186594259eebaf3127072/vcc/src/queue.cpp#L88
std::shared_ptr,repo,README.md,19,19,18,18,18,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,21,21,21,21,21,21,21,21,21,21,21,21,22,22,22,22,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,30,30,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,35,35,39,39,39,39,39,39,39,39,39,38,38,38,38,https://github.com/google/vulkan-cpp-library/blob/85b8bdbeabb3f58350a0bbe8720da2a7af2aaf14/README.md,https://github.com/google/vulkan-cpp-library/blob/82314d765013ce96e23186594259eebaf3127072/vcc/src/window.cpp#L144
std::unique_ptr,repo,README.md,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,31,31,31,31,31,31,31,31,31,31,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,42,42,42,42,42,42,42,42,42,48,48,48,47,42,42,42,43,43,43,43,43,42,48,48,48,43,43,44,44,44,44,33,33,33,33,https://github.com/google/vulkan-cpp-library/blob/85b8bdbeabb3f58350a0bbe8720da2a7af2aaf14/README.md,https://github.com/google/vulkan-cpp-library/blob/82314d765013ce96e23186594259eebaf3127072/vcc/src/window.cpp#L574
std::vector,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,326,326,326,326,333,333,333,333,333,333,333,333,351,351,351,351,351,351,351,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,356,356,358,358,358,358,358,365,365,365,365,365,365,365,365,365,366,366,366,366,371,381,381,392,392,392,394,387,387,387,387,387,383,383,383,383,383,383,383,383,371,371,https://github.com/google/vulkan-cpp-library/blob/85b8bdbeabb3f58350a0bbe8720da2a7af2aaf14/README.md,https://github.com/google/vulkan-cpp-library/blob/82314d765013ce96e23186594259eebaf3127072/vcc/src/window.cpp#L110
supplier<T>,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/vulkan-cpp-library/blob/85b8bdbeabb3f58350a0bbe8720da2a7af2aaf14/README.md,https://github.com/google/vulkan-cpp-library/blob/82314d765013ce96e23186594259eebaf3127072/types/include/type/supplier.h#L129
t_array,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,83,83,74,74,74,74,https://github.com/google/vulkan-cpp-library/blob/85b8bdbeabb3f58350a0bbe8720da2a7af2aaf14/README.md,https://github.com/google/vulkan-cpp-library/blob/82314d765013ce96e23186594259eebaf3127072/types/include/type/types.h#L30
texcoords,repo,README.md,9,9,9,9,9,10,10,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,https://github.com/google/vulkan-cpp-library/blob/85b8bdbeabb3f58350a0bbe8720da2a7af2aaf14/README.md,https://github.com/google/vulkan-cpp-library/blob/82314d765013ce96e23186594259eebaf3127072/tools/obj2gl.cpp#L170
vertex_buffer,repo,README.md,6,6,6,6,6,9,9,9,9,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,https://github.com/google/vulkan-cpp-library/blob/85b8bdbeabb3f58350a0bbe8720da2a7af2aaf14/README.md,https://github.com/google/vulkan-cpp-library/blob/82314d765013ce96e23186594259eebaf3127072/sample/teapot/src/teapot.cpp#L243
vertices,repo,README.md,10,10,10,10,10,12,12,12,12,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,19,19,19,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,https://github.com/google/vulkan-cpp-library/blob/85b8bdbeabb3f58350a0bbe8720da2a7af2aaf14/README.md,https://github.com/google/vulkan-cpp-library/blob/82314d765013ce96e23186594259eebaf3127072/tools/obj2gl.cpp#L169
vulkan-cpp.sln,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/vulkan-cpp-library/blob/85b8bdbeabb3f58350a0bbe8720da2a7af2aaf14/README.md,code_element is a file name
writable_vec3_array,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/vulkan-cpp-library/blob/85b8bdbeabb3f58350a0bbe8720da2a7af2aaf14/README.md,https://github.com/google/vulkan-cpp-library/blob/82314d765013ce96e23186594259eebaf3127072/types/include/type/types.h#L97
write(vertices),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/vulkan-cpp-library/blob/85b8bdbeabb3f58350a0bbe8720da2a7af2aaf14/README.md,https://github.com/google/vulkan-cpp-library/blob/82314d765013ce96e23186594259eebaf3127072/sample/openvr/src/vr.cpp#L315
x64,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,278,277,277,277,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/vulkan-cpp-library/blob/85b8bdbeabb3f58350a0bbe8720da2a7af2aaf14/README.md,https://github.com/google/vulkan-cpp-library/blob/26dc15af1732c5a185f5aeb63ab3b72f6cb6f3ce/vulkan-cpp.sln#L84
