code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,rev_94,rev_95,rev_96,rev_97,rev_98,rev_99,rev_100,rev_101,rev_102,rev_103,rev_104,rev_105,rev_106,rev_107,rev_108,rev_109,doc_link,source_link
Quantile,repo,README.md,-,-,-,.,-,-,-,-,-,-,-,-,-,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,https://github.com/google/meterstick/blob/c4ec93c8f9cbcd9b67f87657a61f61685244df58/README.md,https://github.com/google/meterstick/blob/aa59b39951db64d505bb0ff9e937f72b149ec73d/models.py#L738
Ratio,repo,README.md,15,15,15,.,15,15,43,15,15,15,15,15,15,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,86,86,86,86,86,86,86,86,86,https://github.com/google/meterstick/blob/c4ec93c8f9cbcd9b67f87657a61f61685244df58/README.md,https://github.com/google/meterstick/blob/aa59b39951db64d505bb0ff9e937f72b149ec73d/operations_test.py#L1272
Ridge,repo,README.md,-,-,-,.,-,-,-,-,-,-,-,-,-,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,24,24,24,13,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,https://github.com/google/meterstick/blob/c4ec93c8f9cbcd9b67f87657a61f61685244df58/README.md,https://github.com/google/meterstick/blob/aa59b39951db64d505bb0ff9e937f72b149ec73d/models_test.py#L41
SELECT,repo,README.md,-,-,-,.,-,-,-,-,-,-,-,-,-,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,33,33,33,33,33,33,33,33,33,33,33,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,https://github.com/google/meterstick/blob/c4ec93c8f9cbcd9b67f87657a61f61685244df58/README.md,https://github.com/google/meterstick/blob/aa59b39951db64d505bb0ff9e937f72b149ec73d/sql.py#L223
SQL,repo,README.md,-,-,-,.,-,-,-,-,-,-,-,-,-,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57,57,57,57,57,57,57,58,58,58,58,58,58,58,58,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,60,65,65,65,65,65,65,65,65,94,94,94,94,94,94,94,94,99,99,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,103,103,103,103,103,103,103,103,https://github.com/google/meterstick/blob/c4ec93c8f9cbcd9b67f87657a61f61685244df58/README.md,https://github.com/google/meterstick/blob/aa59b39951db64d505bb0ff9e937f72b149ec73d/sql.py#L14
SUM(X),repo,README.md,-,-,-,.,-,-,-,-,-,-,-,-,-,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,https://github.com/google/meterstick/blob/c4ec93c8f9cbcd9b67f87657a61f61685244df58/README.md,https://github.com/google/meterstick/blob/aa59b39951db64d505bb0ff9e937f72b149ec73d/operations.py#L2470
"Sum(""Clicks"")",repo,README.md,0,0,0,.,5,5,5,5,5,5,5,5,5,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/google/meterstick/blob/c4ec93c8f9cbcd9b67f87657a61f61685244df58/README.md,https://github.com/google/meterstick/blob/a109f0e15eee25564ca752e24722f72da3292de1/metrics.py#L61
Sum('X'),repo,README.md,-,-,-,.,-,-,-,-,-,-,-,-,-,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,118,118,118,121,121,121,121,121,121,121,121,121,128,128,128,128,128,128,128,132,132,132,132,132,132,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,129,129,129,129,129,129,129,129,129,https://github.com/google/meterstick/blob/c4ec93c8f9cbcd9b67f87657a61f61685244df58/README.md,https://github.com/google/meterstick/blob/aa59b39951db64d505bb0ff9e937f72b149ec73d/utils.py#L35
Sum(denominator),repo,README.md,0,0,0,.,1,1,1,1,1,1,1,1,1,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/meterstick/blob/c4ec93c8f9cbcd9b67f87657a61f61685244df58/README.md,https://github.com/google/meterstick/blob/aa59b39951db64d505bb0ff9e937f72b149ec73d/metrics.py#L1164
Sum(numerator),repo,README.md,0,0,0,.,1,1,1,1,1,1,1,1,1,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/meterstick/blob/c4ec93c8f9cbcd9b67f87657a61f61685244df58/README.md,https://github.com/google/meterstick/blob/aa59b39951db64d505bb0ff9e937f72b149ec73d/metrics.py#L1164
WHERE,repo,README.md,-,-,-,.,-,-,-,-,-,-,-,-,-,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,19,19,19,19,19,19,19,19,19,19,19,19,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/meterstick/blob/c4ec93c8f9cbcd9b67f87657a61f61685244df58/README.md,https://github.com/google/meterstick/blob/4c337a2f35f93e1e2d4751a08b228b6dcdd1188c/sql.py#L88
"__init__(name, where=where)",repo,README.md,-,-,-,.,-,-,-,-,-,-,-,-,-,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/meterstick/blob/c4ec93c8f9cbcd9b67f87657a61f61685244df58/README.md,https://github.com/google/meterstick/blob/aa59b39951db64d505bb0ff9e937f72b149ec73d/meterstick_demo.ipynb#L11516
"__init__(self, x, y, name=None, where=None)",repo,README.md,-,-,-,.,-,-,-,-,-,-,-,-,-,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/meterstick/blob/c4ec93c8f9cbcd9b67f87657a61f61685244df58/README.md,https://github.com/google/meterstick/blob/aa59b39951db64d505bb0ff9e937f72b149ec73d/meterstick_demo.ipynb#L11512
ascending,repo,README.md,-,-,-,.,-,-,-,-,-,-,-,-,-,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,https://github.com/google/meterstick/blob/c4ec93c8f9cbcd9b67f87657a61f61685244df58/README.md,https://github.com/google/meterstick/blob/aa59b39951db64d505bb0ff9e937f72b149ec73d/operations_test.py#L275
baseline,repo,README.md,16,16,16,.,18,18,18,18,18,18,18,18,18,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,13,13,19,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,https://github.com/google/meterstick/blob/c4ec93c8f9cbcd9b67f87657a61f61685244df58/README.md,https://github.com/google/meterstick/blob/aa59b39951db64d505bb0ff9e937f72b149ec73d/operations.py#L461
calculate,repo,README.md,22,-,-,.,-,-,-,-,-,-,-,-,-,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/meterstick/blob/c4ec93c8f9cbcd9b67f87657a61f61685244df58/README.md,https://github.com/google/meterstick/blob/50553c1eedd4149ef3b1100966c0e3bde311792c/metrics.py#L34
calculate(),repo,README.md,0,0,0,.,3,3,3,3,3,3,3,3,3,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/meterstick/blob/c4ec93c8f9cbcd9b67f87657a61f61685244df58/README.md,https://github.com/google/meterstick/blob/a109f0e15eee25564ca752e24722f72da3292de1/core.py#L215
calculate(metric),repo,README.md,22,22,22,.,62,62,62,62,62,62,62,63,63,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/meterstick/blob/c4ec93c8f9cbcd9b67f87657a61f61685244df58/README.md,https://github.com/google/meterstick/blob/a109f0e15eee25564ca752e24722f72da3292de1/metrics_test.py#L365
ci_lower,repo,README.md,-,-,-,.,-,-,-,-,-,-,-,-,-,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,https://github.com/google/meterstick/blob/c4ec93c8f9cbcd9b67f87657a61f61685244df58/README.md,https://github.com/google/meterstick/blob/aa59b39951db64d505bb0ff9e937f72b149ec73d/operations.py#L1187
ci_upper,repo,README.md,-,-,-,.,-,-,-,-,-,-,-,-,-,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,https://github.com/google/meterstick/blob/c4ec93c8f9cbcd9b67f87657a61f61685244df58/README.md,https://github.com/google/meterstick/blob/aa59b39951db64d505bb0ff9e937f72b149ec73d/operations.py#L1186
"compute(self, data)",repo,README.md,-,-,-,.,-,-,-,-,-,-,-,-,-,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/meterstick/blob/c4ec93c8f9cbcd9b67f87657a61f61685244df58/README.md,https://github.com/google/meterstick/blob/aa59b39951db64d505bb0ff9e937f72b149ec73d/meterstick_demo.ipynb#L11518
compute_on(),repo,README.md,-,-,-,.,-,-,-,-,-,-,-,-,-,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,19,19,19,19,19,19,19,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,26,26,26,26,26,26,27,27,27,27,27,27,27,27,27,27,27,27,27,28,29,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,https://github.com/google/meterstick/blob/c4ec93c8f9cbcd9b67f87657a61f61685244df58/README.md,https://github.com/google/meterstick/blob/aa59b39951db64d505bb0ff9e937f72b149ec73d/operations.py#L65
compute_on(data),repo,README.md,-,-,-,.,-,-,-,-,-,-,-,-,-,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/meterstick/blob/c4ec93c8f9cbcd9b67f87657a61f61685244df58/README.md,https://github.com/google/meterstick/blob/aa59b39951db64d505bb0ff9e937f72b149ec73d/meterstick_demo.ipynb#L7116
"compute_on(data, groupby)",repo,README.md,-,-,-,.,-,-,-,-,-,-,-,-,-,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/meterstick/blob/c4ec93c8f9cbcd9b67f87657a61f61685244df58/README.md,https://github.com/google/meterstick/blob/aa59b39951db64d505bb0ff9e937f72b149ec73d/meterstick_demo.ipynb#L7117
compute_on(df),repo,README.md,-,-,-,.,-,-,-,-,-,-,-,-,-,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,128,128,128,128,128,128,128,130,130,135,135,135,137,137,137,137,137,137,137,139,139,139,139,139,139,139,139,139,139,139,139,142,142,149,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,https://github.com/google/meterstick/blob/c4ec93c8f9cbcd9b67f87657a61f61685244df58/README.md,https://github.com/google/meterstick/blob/aa59b39951db64d505bb0ff9e937f72b149ec73d/utils.py#L38
compute_on_sql,repo,README.md,-,-,-,.,-,-,-,-,-,-,-,-,-,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,6,6,6,6,6,6,6,6,6,6,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/meterstick/blob/c4ec93c8f9cbcd9b67f87657a61f61685244df58/README.md,https://github.com/google/meterstick/blob/4c337a2f35f93e1e2d4751a08b228b6dcdd1188c/sql.py#L37
compute_on_sql(),repo,README.md,-,-,-,.,-,-,-,-,-,-,-,-,-,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,3,3,3,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/meterstick/blob/c4ec93c8f9cbcd9b67f87657a61f61685244df58/README.md,https://github.com/google/meterstick/blob/aa59b39951db64d505bb0ff9e937f72b149ec73d/utils.py#L338
condition,repo,README.md,12,12,12,.,22,22,22,22,22,22,22,22,22,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/meterstick/blob/c4ec93c8f9cbcd9b67f87657a61f61685244df58/README.md,https://github.com/google/meterstick/blob/a109f0e15eee25564ca752e24722f72da3292de1/standard_errors.py#L185
condition_column,repo,README.md,-,-,-,.,-,-,-,-,-,-,-,-,-,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,26,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,https://github.com/google/meterstick/blob/c4ec93c8f9cbcd9b67f87657a61f61685244df58/README.md,https://github.com/google/meterstick/blob/aa59b39951db64d505bb0ff9e937f72b149ec73d/operations.py#L343
confidence,repo,README.md,-,-,-,.,-,-,-,-,-,-,-,-,-,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,110,110,110,110,110,110,110,110,111,111,111,111,111,111,111,111,111,111,111,114,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,https://github.com/google/meterstick/blob/c4ec93c8f9cbcd9b67f87657a61f61685244df58/README.md,https://github.com/google/meterstick/blob/aa59b39951db64d505bb0ff9e937f72b149ec73d/operations.py#L1083
confidence_interval_display,repo,README.md,-,-,-,.,-,-,-,-,-,-,-,-,-,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,55,55,55,55,55,55,55,55,55,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,https://github.com/google/meterstick/blob/c4ec93c8f9cbcd9b67f87657a61f61685244df58/README.md,https://github.com/google/meterstick/blob/aa59b39951db64d505bb0ff9e937f72b149ec73d/operations.py#L24
confidence_interval_display_demo,repo,README.md,-,-,-,.,-,-,-,-,-,-,-,-,-,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/meterstick/blob/c4ec93c8f9cbcd9b67f87657a61f61685244df58/README.md,https://github.com/google/meterstick/blob/aa59b39951db64d505bb0ff9e937f72b149ec73d/meterstick_demo.ipynb#L6062
data,repo,README.md,146,146,147,.,271,271,273,271,271,271,271,275,275,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/meterstick/blob/c4ec93c8f9cbcd9b67f87657a61f61685244df58/README.md,https://github.com/google/meterstick/blob/a109f0e15eee25564ca752e24722f72da3292de1/standard_errors.py#L122
display,repo,README.md,-,-,-,.,-,-,-,-,-,-,-,-,-,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4842,4842,4842,4842,4840,4840,4840,4840,4840,4840,4840,4840,4840,4840,4840,4840,4840,4840,4840,4840,4840,4840,4840,4840,4840,4840,4840,4840,4840,4840,4840,4840,4840,4840,4840,4840,4840,4840,4840,4841,4841,4841,4841,4841,4841,4841,4894,4894,4894,4894,4894,4894,4894,4894,4894,4894,4894,4894,4946,4946,4948,4950,4950,4970,4970,4970,4988,4988,4988,4988,4988,4988,4988,4988,4988,4988,4988,4988,https://github.com/google/meterstick/blob/c4ec93c8f9cbcd9b67f87657a61f61685244df58/README.md,https://github.com/google/meterstick/blob/aa59b39951db64d505bb0ff9e937f72b149ec73d/operations_test.py#L1019
drop_duplicates(),repo,README.md,-,-,-,.,-,-,-,-,-,-,-,-,-,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/meterstick/blob/c4ec93c8f9cbcd9b67f87657a61f61685244df58/README.md,https://github.com/google/meterstick/blob/aa59b39951db64d505bb0ff9e937f72b149ec73d/meterstick_demo.ipynb#L11521
execute,repo,README.md,-,-,-,.,-,-,-,-,-,-,-,-,-,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,49,49,49,49,49,49,49,49,55,59,59,59,59,59,59,59,59,59,59,59,59,62,65,68,68,68,68,68,68,68,68,73,73,73,73,73,73,73,73,https://github.com/google/meterstick/blob/c4ec93c8f9cbcd9b67f87657a61f61685244df58/README.md,https://github.com/google/meterstick/blob/aa59b39951db64d505bb0ff9e937f72b149ec73d/operations.py#L141
expCUPED,repo,README.md,-,-,-,.,-,-,-,-,-,-,-,-,-,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/meterstick/blob/c4ec93c8f9cbcd9b67f87657a61f61685244df58/README.md,https://github.com/google/meterstick/blob/aa59b39951db64d505bb0ff9e937f72b149ec73d/meterstick_demo.ipynb#L4847
index,repo,README.md,55,55,55,.,147,147,153,147,147,147,147,148,148,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/meterstick/blob/c4ec93c8f9cbcd9b67f87657a61f61685244df58/README.md,https://github.com/google/meterstick/blob/a109f0e15eee25564ca752e24722f72da3292de1/standard_errors.py#L40
"lowess(data[self.y], data[self.x])",repo,README.md,-,-,-,.,-,-,-,-,-,-,-,-,-,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/meterstick/blob/c4ec93c8f9cbcd9b67f87657a61f61685244df58/README.md,https://github.com/google/meterstick/blob/aa59b39951db64d505bb0ff9e937f72b149ec73d/meterstick_demo.ipynb#L11520
lowess_fit,repo,README.md,-,-,-,.,-,-,-,-,-,-,-,-,-,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/meterstick/blob/c4ec93c8f9cbcd9b67f87657a61f61685244df58/README.md,https://github.com/google/meterstick/blob/aa59b39951db64d505bb0ff9e937f72b149ec73d/meterstick_demo.ipynb#L11519
