code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,doc_link,source_link
PROFITS,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/config#L19
PROVIDED,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/config#L13
PURPOSE,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/config#L15
SERVICES,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/config#L19
SHALL,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/config#L16
SOFTWARE,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/config#L13
SPECIAL,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/config#L17
STRICT,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/config#L20
SUBSTITUTE,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/config#L18
SUCH,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/config#L23
THE,repo,README.md,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/config#L13
THEORY,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/config#L20
THIS,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/config#L13
TO,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/config#L14
TORT,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/config#L21
USE,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/config#L19
WARRANTIES,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/config#L14
WAY,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/config#L21
WHETHER,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/config#L20
always,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/ngx_http_brotli_static_module.c#L25
brotli,repo,README.md,18,18,18,18,18,18,18,20,20,11,13,13,13,17,79,40,40,40,40,41,41,41,41,41,41,41,42,42,42,42,42,42,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/ngx_http_brotli_static_module.c#L135
brotli_buffers,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/filter/ngx_http_brotli_filter_module.c#L130
brotli_comp_level,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/script/test_h2.conf#L17
brotli_min_length,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/filter/ngx_http_brotli_filter_module.c#L156
brotli_ratio,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/filter/ngx_http_brotli_filter_module.c#L195
brotli_static,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/ngx_http_brotli_static_module.c#L42
brotli_types,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/script/test_h2.conf#L18
brotli_window,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/filter/ngx_http_brotli_filter_module.c#L150
http,repo,README.md,4,4,4,4,4,5,5,5,5,4,4,4,4,4,4,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/ngx_http_brotli_static_module.c#L184
if,repo,README.md,110,110,110,111,111,114,115,123,124,109,110,110,110,118,103,118,118,118,121,143,145,145,145,145,145,147,148,150,150,150,150,150,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/ngx_http_brotli_static_module.c#L94
length,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/filter/ngx_http_brotli_filter_module.c#L31
level,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/ngx_http_brotli_static_module.c#L203
location,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/ngx_http_brotli_static_module.c#L59
ngx_brotli,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/config#L25
ngx_http_brotli_filter_module,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,8,8,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/filter/ngx_http_brotli_filter_module.c#L180
ngx_http_brotli_static_module,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/ngx_http_brotli_static_module.c#L63
objs,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/script/.travis-test.sh#L5
off,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/ngx_http_brotli_static_module.c#L23
server,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,7,7,7,7,7,7,7,7,7,7,10,10,10,10,10,10,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/ngx_http_brotli_static_module.c#L56
size,repo,README.md,32,32,32,32,32,32,31,31,31,31,36,36,36,36,36,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/ngx_http_brotli_static_module.c#L253
