code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,doc_link,source_link
mmm.print_summary,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/examples/simple_end_to_end_demo.ipynb#L458
model_name,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34,34,34,34,34,34,34,34,34,34,34,58,58,58,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/lightweight_mmm/optimize_media_test.py#L58
multiply_by,repo,README.md,-,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/0c5c5ff644012620494275c6e44d7f8bc445becd/preprocessing_test.py#L33
n_extra_features,repo,README.md,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,21,21,21,21,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/lightweight_mmm/utils_test.py#L78
n_media_channels,repo,README.md,-,8,8,8,8,8,8,8,8,8,8,8,12,12,12,12,12,12,12,12,12,12,12,12,12,23,23,23,23,45,45,45,45,45,45,49,49,49,49,49,49,49,49,49,51,51,51,51,51,51,51,51,51,51,53,54,60,60,60,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/lightweight_mmm/utils_test.py#L77
n_time_periods,repo,README.md,-,10,10,10,10,10,10,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,18,18,18,18,18,18,18,18,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,26,26,26,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/lightweight_mmm/optimize_media_test.py#L134
number_chains,repo,README.md,-,16,16,16,16,18,18,18,18,18,18,18,19,19,19,19,21,21,21,21,21,21,21,21,21,23,25,25,25,25,25,25,25,25,25,28,28,27,27,27,27,28,28,28,28,28,28,28,28,28,28,28,28,28,29,23,21,21,21,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/lightweight_mmm/utils_test.py#L43
number_samples,repo,README.md,-,-,16,16,16,18,18,18,18,18,18,18,19,19,19,19,21,21,21,21,21,21,21,21,21,23,25,25,25,25,25,25,25,25,25,27,27,27,27,29,29,30,30,30,30,30,30,30,30,30,30,30,30,30,31,25,23,23,23,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/lightweight_mmm/utils_test.py#L42
number_warmup,repo,README.md,-,-,15,15,15,17,17,17,17,17,17,17,18,18,18,18,20,20,20,20,20,20,20,20,20,22,24,24,24,24,24,24,24,24,24,26,26,26,26,28,28,29,29,29,29,29,29,29,29,29,29,29,29,29,30,24,22,22,22,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/lightweight_mmm/utils_test.py#L41
numpyro.set_host_device_count,repo,README.md,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/examples/simple_end_to_end_demo.ipynb#L56
optimize_media,repo,README.md,-,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,8,8,8,8,8,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,12,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/lightweight_mmm/optimize_media_test.py#L15
plot.plot_bars_media_metrics,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/examples/simple_end_to_end_demo.ipynb#L708
plot.plot_media_channel_posteriors,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/lightweight_mmm/plot_test.py#L253
plot.plot_model_fit,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/lightweight_mmm/plot_test.py#L76
plot.plot_response_curves,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/lightweight_mmm/plot_test.py#L111
preprocessing.CustomScaler(),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/lightweight_mmm/optimize_media_test.py#L78
r_hat,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/examples/simple_end_to_end_demo.ipynb#L429
roi_hat,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/lightweight_mmm/lightweight_mmm.py#L29
simulate_dummy_data,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/lightweight_mmm/utils.py#L79
split_point,repo,README.md,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/examples/simple_end_to_end_demo.ipynb#L166
target_scaler,repo,README.md,-,34,34,34,34,34,34,34,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,50,50,50,50,50,50,50,50,50,50,61,61,61,61,61,62,62,62,62,62,62,62,62,62,62,62,62,62,62,60,60,62,62,62,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/lightweight_mmm/plot_test.py#L72
target_train,repo,README.md,-,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,4,4,4,4,4,4,4,4,4,4,4,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/lightweight_mmm/plot.py#L496
total_costs,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25,25,27,27,27,27,27,27,28,28,28,28,28,28,28,28,28,28,28,28,28,35,32,30,30,30,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/lightweight_mmm/utils_test.py#L39
unscaled_costs,repo,README.md,-,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/5272df535e5dbcb1585ed6aab1e7609ac475e298/lightweight_mmm/lightweight_mmm.py#L331
utils.load_model,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/lightweight_mmm/utils_test.py#L69
utils.save_model,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/lightweight_mmm/utils_test.py#L46
utils.simulate_dummy_data,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/lightweight_mmm/utils_test.py#L99
weekday_seasonality=True,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/lightweight_mmm/lightweight_mmm_test.py#L99
y,repo,README.md,-,-,-,-,-,-,-,-,-,-,8,8,9,9,9,12,13,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,24,24,21,21,26,26,26,26,26,19,19,19,19,19,19,19,19,19,19,22,22,22,22,22,37,37,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/lightweight_mmm/plot_test.py#L162
