code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,doc_link,source_link
global_object,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,23,23,23,23,23,23,23,22,22,22,22,22,22,https://github.com/google/jni-bind/blob/94ce324da70f69ee7a43a6c0f8b799f72bb46e5e/README.md,https://github.com/google/jni-bind/blob/12deff9c5b47ab5d0aa3e2c1efa321fb59d09ef7/jni_bind_release.h#L633
http_archive,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/jni-bind/blob/94ce324da70f69ee7a43a6c0f8b799f72bb46e5e/README.md,https://github.com/google/jni-bind/blob/12deff9c5b47ab5d0aa3e2c1efa321fb59d09ef7/WORKSPACE#L1
intField,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,10,15,15,15,15,15,15,15,15,15,15,15,15,https://github.com/google/jni-bind/blob/94ce324da70f69ee7a43a6c0f8b799f72bb46e5e/README.md,https://github.com/google/jni-bind/blob/12deff9c5b47ab5d0aa3e2c1efa321fb59d09ef7/javatests/com/jnibind/test/field_test_jni.cc#L33
intMethod,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/jni-bind/blob/94ce324da70f69ee7a43a6c0f8b799f72bb46e5e/README.md,https://github.com/google/jni-bind/blob/12deff9c5b47ab5d0aa3e2c1efa321fb59d09ef7/javatests/com/jnibind/test/method_test_jni.cc#L44
jarray,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,91,91,91,91,91,91,91,85,86,83,83,83,83,84,https://github.com/google/jni-bind/blob/94ce324da70f69ee7a43a6c0f8b799f72bb46e5e/README.md,https://github.com/google/jni-bind/blob/12deff9c5b47ab5d0aa3e2c1efa321fb59d09ef7/mock_jni_env.h#L395
jbooleanArray,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36,36,36,36,36,36,36,36,51,55,55,55,55,55,https://github.com/google/jni-bind/blob/94ce324da70f69ee7a43a6c0f8b799f72bb46e5e/README.md,https://github.com/google/jni-bind/blob/12deff9c5b47ab5d0aa3e2c1efa321fb59d09ef7/mock_jni_env.h#L396
jbyteArray,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33,33,33,33,33,33,33,33,38,42,42,42,42,42,https://github.com/google/jni-bind/blob/94ce324da70f69ee7a43a6c0f8b799f72bb46e5e/README.md,https://github.com/google/jni-bind/blob/12deff9c5b47ab5d0aa3e2c1efa321fb59d09ef7/mock_jni_env.h#L401
jcharArray,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33,33,33,33,33,33,33,33,38,42,42,42,42,42,https://github.com/google/jni-bind/blob/94ce324da70f69ee7a43a6c0f8b799f72bb46e5e/README.md,https://github.com/google/jni-bind/blob/12deff9c5b47ab5d0aa3e2c1efa321fb59d09ef7/mock_jni_env.h#L405
jfieldID,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,152,172,178,178,180,180,180,180,180,180,180,180,180,180,https://github.com/google/jni-bind/blob/94ce324da70f69ee7a43a6c0f8b799f72bb46e5e/README.md,https://github.com/google/jni-bind/blob/12deff9c5b47ab5d0aa3e2c1efa321fb59d09ef7/mock_jni_env.h#L393
jfloatArray,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37,37,37,37,37,37,37,37,44,48,48,48,48,48,https://github.com/google/jni-bind/blob/94ce324da70f69ee7a43a6c0f8b799f72bb46e5e/README.md,https://github.com/google/jni-bind/blob/12deff9c5b47ab5d0aa3e2c1efa321fb59d09ef7/mock_jni_env.h#L418
jintArray,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51,51,51,51,51,51,51,51,57,65,65,65,65,65,https://github.com/google/jni-bind/blob/94ce324da70f69ee7a43a6c0f8b799f72bb46e5e/README.md,https://github.com/google/jni-bind/blob/12deff9c5b47ab5d0aa3e2c1efa321fb59d09ef7/mock_jni_env.h#L423
jlongArray,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33,33,33,33,33,33,33,33,38,42,42,42,42,42,https://github.com/google/jni-bind/blob/94ce324da70f69ee7a43a6c0f8b799f72bb46e5e/README.md,https://github.com/google/jni-bind/blob/12deff9c5b47ab5d0aa3e2c1efa321fb59d09ef7/mock_jni_env.h#L428
jmethodID,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,316,316,316,316,316,316,316,316,316,316,316,316,316,316,https://github.com/google/jni-bind/blob/94ce324da70f69ee7a43a6c0f8b799f72bb46e5e/README.md,https://github.com/google/jni-bind/blob/12deff9c5b47ab5d0aa3e2c1efa321fb59d09ef7/mock_jni_env.h#L246
jni::Constructor,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,12,13,13,13,13,13,13,13,13,13,13,13,13,https://github.com/google/jni-bind/blob/94ce324da70f69ee7a43a6c0f8b799f72bb46e5e/README.md,https://github.com/google/jni-bind/blob/12deff9c5b47ab5d0aa3e2c1efa321fb59d09ef7/jni_bind_release.h#L5275
jni::Field,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,8,8,8,8,8,8,8,8,8,8,8,9,https://github.com/google/jni-bind/blob/94ce324da70f69ee7a43a6c0f8b799f72bb46e5e/README.md,https://github.com/google/jni-bind/blob/12deff9c5b47ab5d0aa3e2c1efa321fb59d09ef7/release_header_smoke_test.cc#L11
jni::GlobalObject,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,14,14,14,14,14,14,14,13,13,13,13,13,14,https://github.com/google/jni-bind/blob/94ce324da70f69ee7a43a6c0f8b799f72bb46e5e/README.md,https://github.com/google/jni-bind/blob/12deff9c5b47ab5d0aa3e2c1efa321fb59d09ef7/release_header_smoke_test.cc#L25
jni::GlobalString,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/jni-bind/blob/94ce324da70f69ee7a43a6c0f8b799f72bb46e5e/README.md,https://github.com/google/jni-bind/blob/12deff9c5b47ab5d0aa3e2c1efa321fb59d09ef7/implementation/string_ref_test.cc#L48
jni::JvmRef,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21,21,21,21,21,21,21,21,21,21,21,21,21,21,https://github.com/google/jni-bind/blob/94ce324da70f69ee7a43a6c0f8b799f72bb46e5e/README.md,https://github.com/google/jni-bind/blob/12deff9c5b47ab5d0aa3e2c1efa321fb59d09ef7/jni_test.h#L144
jni::LocalObject,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49,57,61,61,61,61,61,61,60,60,60,60,60,60,https://github.com/google/jni-bind/blob/94ce324da70f69ee7a43a6c0f8b799f72bb46e5e/README.md,https://github.com/google/jni-bind/blob/12deff9c5b47ab5d0aa3e2c1efa321fb59d09ef7/javatests/com/jnibind/test/string_test_jni.cc#L21
jni::LocalString,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/jni-bind/blob/94ce324da70f69ee7a43a6c0f8b799f72bb46e5e/README.md,https://github.com/google/jni-bind/blob/12deff9c5b47ab5d0aa3e2c1efa321fb59d09ef7/javatests/com/jnibind/test/string_test_jni.cc#L22
jni::Method,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21,21,21,21,21,21,21,21,21,21,21,21,21,22,https://github.com/google/jni-bind/blob/94ce324da70f69ee7a43a6c0f8b799f72bb46e5e/README.md,https://github.com/google/jni-bind/blob/12deff9c5b47ab5d0aa3e2c1efa321fb59d09ef7/release_header_smoke_test.cc#L12
jni::Overload,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/jni-bind/blob/94ce324da70f69ee7a43a6c0f8b799f72bb46e5e/README.md,https://github.com/google/jni-bind/blob/12deff9c5b47ab5d0aa3e2c1efa321fb59d09ef7/javatests/com/jnibind/test/object_test_helper_jni.h#L36
jni::Params,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38,38,38,38,38,38,38,38,38,38,38,38,38,39,https://github.com/google/jni-bind/blob/94ce324da70f69ee7a43a6c0f8b799f72bb46e5e/README.md,https://github.com/google/jni-bind/blob/12deff9c5b47ab5d0aa3e2c1efa321fb59d09ef7/release_header_smoke_test.cc#L13
jni::Return,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,126,126,126,126,126,126,126,126,132,132,132,132,132,135,https://github.com/google/jni-bind/blob/94ce324da70f69ee7a43a6c0f8b799f72bb46e5e/README.md,https://github.com/google/jni-bind/blob/12deff9c5b47ab5d0aa3e2c1efa321fb59d09ef7/release_header_smoke_test.cc#L19
jni::ThreadGuard,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/jni-bind/blob/94ce324da70f69ee7a43a6c0f8b799f72bb46e5e/README.md,https://github.com/google/jni-bind/blob/12deff9c5b47ab5d0aa3e2c1efa321fb59d09ef7/implementation/jvm_test.cc#L33
jni::UtfStringView,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/jni-bind/blob/94ce324da70f69ee7a43a6c0f8b799f72bb46e5e/README.md,https://github.com/google/jni-bind/blob/12deff9c5b47ab5d0aa3e2c1efa321fb59d09ef7/implementation/string_ref_test.cc#L61
jni_bind,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60,60,60,60,60,60,60,60,60,60,60,60,60,60,https://github.com/google/jni-bind/blob/94ce324da70f69ee7a43a6c0f8b799f72bb46e5e/README.md,https://github.com/google/jni-bind/blob/12deff9c5b47ab5d0aa3e2c1efa321fb59d09ef7/jni_test.h#L28
jni_bind_release,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/jni-bind/blob/94ce324da70f69ee7a43a6c0f8b799f72bb46e5e/README.md,https://github.com/google/jni-bind/blob/12deff9c5b47ab5d0aa3e2c1efa321fb59d09ef7/BUILD#L11
jni_header,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/jni-bind/blob/94ce324da70f69ee7a43a6c0f8b799f72bb46e5e/README.md,https://github.com/google/jni-bind/blob/12deff9c5b47ab5d0aa3e2c1efa321fb59d09ef7/BUILD#L58
jni_md_header,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/jni-bind/blob/94ce324da70f69ee7a43a6c0f8b799f72bb46e5e/README.md,https://github.com/google/jni-bind/blob/12deff9c5b47ab5d0aa3e2c1efa321fb59d09ef7/BUILD#L59
jobject,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,768,788,801,801,807,807,807,805,818,819,819,819,819,819,https://github.com/google/jni-bind/blob/94ce324da70f69ee7a43a6c0f8b799f72bb46e5e/README.md,https://github.com/google/jni-bind/blob/12deff9c5b47ab5d0aa3e2c1efa321fb59d09ef7/mock_jni_env.h#L245
jobjects,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,2,2,2,2,2,2,2,https://github.com/google/jni-bind/blob/94ce324da70f69ee7a43a6c0f8b799f72bb46e5e/README.md,https://github.com/google/jni-bind/blob/12deff9c5b47ab5d0aa3e2c1efa321fb59d09ef7/jni_bind_release.h#L3342
jstring,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,214,214,214,214,214,214,214,214,214,214,214,214,214,214,https://github.com/google/jni-bind/blob/94ce324da70f69ee7a43a6c0f8b799f72bb46e5e/README.md,https://github.com/google/jni-bind/blob/12deff9c5b47ab5d0aa3e2c1efa321fb59d09ef7/mock_jni_env.h#L457
jvm_ref,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,46,46,46,46,46,46,46,46,46,46,46,46,46,46,https://github.com/google/jni-bind/blob/94ce324da70f69ee7a43a6c0f8b799f72bb46e5e/README.md,https://github.com/google/jni-bind/blob/12deff9c5b47ab5d0aa3e2c1efa321fb59d09ef7/jni_bind.h#L43
jvm_test,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/jni-bind/blob/94ce324da70f69ee7a43a6c0f8b799f72bb46e5e/README.md,https://github.com/google/jni-bind/blob/12deff9c5b47ab5d0aa3e2c1efa321fb59d09ef7/implementation/BUILD#L308
kClass,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,140,140,144,144,144,144,144,144,152,152,152,152,152,152,https://github.com/google/jni-bind/blob/94ce324da70f69ee7a43a6c0f8b799f72bb46e5e/README.md,https://github.com/google/jni-bind/blob/12deff9c5b47ab5d0aa3e2c1efa321fb59d09ef7/jni_bind_release.h#L3435
kClass2,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,77,77,87,87,87,87,87,87,97,97,97,97,97,97,https://github.com/google/jni-bind/blob/94ce324da70f69ee7a43a6c0f8b799f72bb46e5e/README.md,https://github.com/google/jni-bind/blob/12deff9c5b47ab5d0aa3e2c1efa321fb59d09ef7/implementation/selector_static_info_test.cc#L14
kDefaultJvm,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,69,69,69,69,69,69,69,69,69,69,69,69,69,69,https://github.com/google/jni-bind/blob/94ce324da70f69ee7a43a6c0f8b799f72bb46e5e/README.md,https://github.com/google/jni-bind/blob/12deff9c5b47ab5d0aa3e2c1efa321fb59d09ef7/jni_test.h#L144
kSomeClass,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/jni-bind/blob/94ce324da70f69ee7a43a6c0f8b799f72bb46e5e/README.md,https://github.com/google/jni-bind/blob/12deff9c5b47ab5d0aa3e2c1efa321fb59d09ef7/implementation/method_ref_test.cc#L55
local_array,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,14,14,14,14,14,14,14,14,https://github.com/google/jni-bind/blob/94ce324da70f69ee7a43a6c0f8b799f72bb46e5e/README.md,https://github.com/google/jni-bind/blob/12deff9c5b47ab5d0aa3e2c1efa321fb59d09ef7/jni_bind.h#L44
local_array_test,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,https://github.com/google/jni-bind/blob/94ce324da70f69ee7a43a6c0f8b799f72bb46e5e/README.md,https://github.com/google/jni-bind/blob/12deff9c5b47ab5d0aa3e2c1efa321fb59d09ef7/implementation/BUILD#L320
local_int_array,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,https://github.com/google/jni-bind/blob/94ce324da70f69ee7a43a6c0f8b799f72bb46e5e/README.md,https://github.com/google/jni-bind/blob/12deff9c5b47ab5d0aa3e2c1efa321fb59d09ef7/implementation/local_array_test.cc#L212
local_jdk,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/jni-bind/blob/94ce324da70f69ee7a43a6c0f8b799f72bb46e5e/README.md,https://github.com/google/jni-bind/blob/12deff9c5b47ab5d0aa3e2c1efa321fb59d09ef7/BUILD#L58
local_obj_array,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,6,6,6,6,6,6,6,https://github.com/google/jni-bind/blob/94ce324da70f69ee7a43a6c0f8b799f72bb46e5e/README.md,https://github.com/google/jni-bind/blob/12deff9c5b47ab5d0aa3e2c1efa321fb59d09ef7/implementation/local_array_test.cc#L312
local_object,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47,47,47,47,47,47,47,47,46,46,46,46,46,46,https://github.com/google/jni-bind/blob/94ce324da70f69ee7a43a6c0f8b799f72bb46e5e/README.md,https://github.com/google/jni-bind/blob/12deff9c5b47ab5d0aa3e2c1efa321fb59d09ef7/jni_bind_release.h#L567
method_test_jni,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/jni-bind/blob/94ce324da70f69ee7a43a6c0f8b799f72bb46e5e/README.md,https://github.com/google/jni-bind/blob/12deff9c5b47ab5d0aa3e2c1efa321fb59d09ef7/javatests/com/jnibind/test/MethodTest.java#L48
"obj(""Foo"", 1)",repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/jni-bind/blob/94ce324da70f69ee7a43a6c0f8b799f72bb46e5e/README.md,https://github.com/google/jni-bind/blob/12deff9c5b47ab5d0aa3e2c1efa321fb59d09ef7/implementation/overload_ref_test.cc#L57
object_test_helper_jni,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,18,18,18,18,18,18,18,18,18,18,18,18,18,https://github.com/google/jni-bind/blob/94ce324da70f69ee7a43a6c0f8b799f72bb46e5e/README.md,https://github.com/google/jni-bind/blob/12deff9c5b47ab5d0aa3e2c1efa321fb59d09ef7/javatests/com/jnibind/test/string_test_jni.cc#L17
operator(),repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,12,12,12,12,12,12,12,12,12,12,12,12,12,https://github.com/google/jni-bind/blob/94ce324da70f69ee7a43a6c0f8b799f72bb46e5e/README.md,https://github.com/google/jni-bind/blob/12deff9c5b47ab5d0aa3e2c1efa321fb59d09ef7/metaprogramming/invocable_map.h#L42
operator[],repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/jni-bind/blob/94ce324da70f69ee7a43a6c0f8b799f72bb46e5e/README.md,https://github.com/google/jni-bind/blob/12deff9c5b47ab5d0aa3e2c1efa321fb59d09ef7/metaprogramming/queryable_map.h#L43
proxy_test,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/jni-bind/blob/94ce324da70f69ee7a43a6c0f8b799f72bb46e5e/README.md,https://github.com/google/jni-bind/blob/12deff9c5b47ab5d0aa3e2c1efa321fb59d09ef7/implementation/BUILD#L540
ptr(),repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,17,17,17,17,17,17,17,17,https://github.com/google/jni-bind/blob/94ce324da70f69ee7a43a6c0f8b799f72bb46e5e/README.md,https://github.com/google/jni-bind/blob/12deff9c5b47ab5d0aa3e2c1efa321fb59d09ef7/jni_bind_release.h#L2202
rules_jvm_external,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/jni-bind/blob/94ce324da70f69ee7a43a6c0f8b799f72bb46e5e/README.md,https://github.com/google/jni-bind/blob/12deff9c5b47ab5d0aa3e2c1efa321fb59d09ef7/WORKSPACE#L22
std::string_view,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,171,171,171,171,171,171,171,171,171,171,171,171,171,171,https://github.com/google/jni-bind/blob/94ce324da70f69ee7a43a6c0f8b799f72bb46e5e/README.md,https://github.com/google/jni-bind/blob/12deff9c5b47ab5d0aa3e2c1efa321fb59d09ef7/metaprogramming/type_map.h#L39
